"Shortname","PrimaryStatus","RP_Months","BP_Months","Group","Pr_RP","Pr_BP","PrimaryStatusProb","shift_vs_pre","shift_vs_pred","amplitude_ratio_vs_pre","SeasonalDisplacement","MonthlyDashboardView","FrameworkPriority"
"Pneumonia","Debt Repaid",34,60,"Respiratory IDs",1,0.835,0.835,1,1,0.97291273118912,"Stable","Recovered on monthly incidence","Low priority routine review"
"Influenza","Recovered",44,NA,"Respiratory IDs",1,0,1,1,0,0.953364088531098,"Stable","Recovered on monthly incidence","Cumulative review needed"
"Chickenpox","Recovered",66,NA,"Respiratory IDs",0.889,0,0.889,-1,-1,0.397693104035921,"Stable","Recovered on monthly incidence","Cumulative review needed"
"Mumps","Recovered",68,NA,"Respiratory IDs",1,0,1,6,4,0.740898804489451,"Shifted","Recovered on monthly incidence","Recalibrate and monitor"
"Scarlet fever","Recovered",61,NA,"Respiratory IDs",0.812,0.332,0.48,-1,-1,3.96767140575221,"Stable","Recovered on monthly incidence","Cumulative review needed"
"Rubella","Suppressed",NA,NA,"Respiratory IDs",0,0,1,3,2,2.01706188548294,"Shifted","Not recovered on monthly incidence","High priority manual review"
"Dengue fever","Recovered",35,NA,"Vector-borne and zoonotic IDs",0.723,0.339,0.383,0,0,1.10005623902397,"Stable","Recovered on monthly incidence","Cumulative review needed"
"Malaria","No Deficit",NA,NA,"Vector-borne and zoonotic IDs",0.477,0.477,0.523,0,0,1.55516542098363,"Stable","Not recovered on monthly incidence","No deficit monitoring"
"Scrub Typhus","Debt Repaid",28,50,"Vector-borne and zoonotic IDs",1,1,1,0,0,1.01218438136385,"Stable","Recovered on monthly incidence","Low priority routine review"
"Leptospirosis","Debt Repaid",11,32,"Vector-borne and zoonotic IDs",0.858,0.773,0.773,1,1,0.809430163124035,"Stable","Recovered on monthly incidence","Low priority routine review"
"Melioidosis","Debt Repaid",28,36,"Vector-borne and zoonotic IDs",1,1,1,-2,-2,1.13045410490982,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
"S. suis","Debt Repaid",5,7,"Vector-borne and zoonotic IDs",1,1,1,0,0,0.800286327845383,"Stable","Recovered on monthly incidence","Low priority routine review"
"HFMD","Debt Repaid",9,32,"Gastrointestinal IDs",1,1,1,1,0,1.22543403300255,"Stable","Recovered on monthly incidence","Low priority routine review"
"Amebiasis","Debt Repaid",31,39,"Gastrointestinal IDs",0.669,0.539,0.539,0,0,1.02588093806374,"Stable","Recovered on monthly incidence","Low priority routine review"
"Shigellosis","Recovered",31,NA,"Gastrointestinal IDs",0.745,0.298,0.447,1,1,1.32133518776078,"Stable","Recovered on monthly incidence","Cumulative review needed"
"Typhoid","Debt Repaid",30,54,"Gastrointestinal IDs",1,1,1,0,-1,0.807165912194936,"Stable","Recovered on monthly incidence","Low priority routine review"
"HAV","Recovered",47,NA,"Gastrointestinal IDs",0.961,0,0.961,-5,-5,0.377556418821893,"Shifted","Recovered on monthly incidence","Recalibrate and monitor"
"Gonorrhoea","Debt Repaid",36,58,"Sexually IDs",0.999,0.822,0.822,0,1,1.06171933784801,"Stable","Recovered on monthly incidence","Low priority routine review"
"Syphilis","Debt Repaid",36,54,"Sexually IDs",0.852,0.616,0.616,-2,0,1.02186511965192,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
"HBV","Debt Repaid",38,52,"Sexually IDs",1,1,1,2,2,1.00921842252517,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
"CA (HPV)","Debt Repaid",42,56,"Sexually IDs",0.997,0.846,0.846,4,4,0.850572796266951,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
"Genital herpes","Debt Repaid",36,52,"Sexually IDs",1,1,1,2,3,1.06593080934718,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
"Chancroid","Recovered",48,NA,"Sexually IDs",0.996,0.224,0.772,0,0,1.06488533616557,"Stable","Recovered on monthly incidence","Cumulative review needed"
"HCV","Debt Repaid",28,35,"Sexually IDs",0.955,0.947,0.947,4,4,0.869950370253663,"Shifted","Recovered on monthly incidence","Recovered but recalibrate seasonality"
