"Shortname","PrimaryStatus","PrimaryStatusLabel","Pr_RP","Pr_BP","Pr_NoDeficit","PrimaryStatusProb","RP_MedianMonths","RP_Q025Months","RP_Q975Months","BP_MedianMonths","BP_Q025Months","BP_Q975Months","Scenario","n_paths","bsts_niter","seed","Group"
"Pneumonia","Debt Repaid","Balanced",1,0.835,0,0.835,34,26,54,59,43,70,"primary",5000,1000,20251209,"Respiratory IDs"
"Influenza","Recovered","Recovered but not balanced",1,0,0,1,44,44,44,NA,NA,NA,"primary",5000,1000,20251209,"Respiratory IDs"
"Chickenpox","Recovered","Recovered but not balanced",0.889,0,0,0.889,54,7,67,NA,NA,NA,"primary",5000,1000,20251209,"Respiratory IDs"
"Mumps","Recovered","Recovered but not balanced",1,0,0,1,68,68,68,NA,NA,NA,"primary",5000,1000,20251209,"Respiratory IDs"
"Scarlet fever","Recovered","Recovered but not balanced",0.812,0.332,0.002,0.48,60,6,66,65,34.525,71,"primary",5000,1000,20251209,"Respiratory IDs"
"Rubella","Suppressed","Suppressed",0,0,0,1,NA,NA,NA,NA,NA,NA,"primary",5000,1000,20251209,"Respiratory IDs"
"Dengue fever","Recovered","Recovered but not balanced",0.723,0.339,0.062,0.383,30,2,46,42,3,65,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Malaria","No Deficit","No deficit",0.475,0.475,0.525,0.525,3,0,24,4,1,28,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Scrub Typhus","Debt Repaid","Balanced",1,1,0,1,28,28,28,50,50,51,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Leptospirosis","Debt Repaid","Balanced",0.858,0.773,0.126,0.773,11,1,37,32,3,64.3499999999999,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Melioidosis","Debt Repaid","Balanced",1,1,0,1,28,6,30,41,35,45,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"S. suis","Debt Repaid","Balanced",1,1,0,1,5,5,5,7,7,8,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"HFMD","Debt Repaid","Balanced",1,1,0,1,9,9,9,37,32,55,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Amebiasis","Debt Repaid","Balanced",0.707,0.628,0.267,0.628,29,4,48,38,24,63,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Shigellosis","Recovered","Recovered but not balanced",0.715,0.351,0.039,0.364,7,3,67,23,3,68,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Typhoid","Debt Repaid","Balanced",1,1,0,1,31,28,36,55,52,61,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"HAV","Recovered","Recovered but not balanced",0.923,0,0,0.923,47,1,61,NA,NA,NA,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Gonorrhoea","Debt Repaid","Balanced",0.999,0.822,0,0.822,36,8,48,56,43,70,"primary",5000,1000,20251209,"Sexually IDs"
"Syphilis","Debt Repaid","Balanced",0.429,0.3,0.338,0.3,34,9,60,41,14,66,"primary",5000,1000,20251209,"Sexually IDs"
"HBV","Debt Repaid","Balanced",1,1,0,1,38,36,41,52,51,52,"primary",5000,1000,20251209,"Sexually IDs"
"CA (HPV)","Debt Repaid","Balanced",0.956,0.773,0.015,0.773,41,4,53,52,32,68,"primary",5000,1000,20251209,"Sexually IDs"
"Genital herpes","Debt Repaid","Balanced",1,1,0,1,36,31,41,52,51,53,"primary",5000,1000,20251209,"Sexually IDs"
"Chancroid","Recovered","Recovered but not balanced",0.996,0.224,0,0.772,48,8,50,66,55,71,"primary",5000,1000,20251209,"Sexually IDs"
"HCV","Debt Repaid","Balanced",0.955,0.947,0.045,0.947,25,0,41,38,1,55,"primary",5000,1000,20251209,"Sexually IDs"
