Shortname,Group,PrimaryPhenotype,RP_Months,BP_Months,PI95_Months,Ratio100_Months,HalfDeficit_Months,BestModel,shift_vs_pre,shift_vs_pred,amplitude_ratio_vs_pre,PrimaryStatusProb,FrameworkPriority,InterruptionStable,ModelRuleMatches,StatusStability,SensitivityStable
Chickenpox,Respiratory IDs,Recovered but not balanced,66,NA,6,66,NA,SARIMA,-1,-1,0.39769310403592084,0.889,Cumulative review needed,TRUE,3,Moderate,Yes
Influenza,Respiratory IDs,Recovered but not balanced,44,NA,NA,44,68,ETS,1,0,0.9533640885310982,1,Cumulative review needed,TRUE,3,High,Yes
Mumps,Respiratory IDs,Recovered but not balanced,68,NA,NA,68,NA,ETS,6,4,0.7408988044894508,0.402,Recalibrate and monitor,TRUE,1,Lower,Partial
Pneumonia,Respiratory IDs,Balanced,34,60,26,34,54,TBATS,1,1,0.9729127311891197,0.835,Low priority routine review,TRUE,3,Moderate,Yes
Rubella,Respiratory IDs,Suppressed,NA,NA,NA,NA,NA,ETS,3,2,2.0170618854829385,1,High priority manual review,TRUE,3,High,Yes
Scarlet fever,Respiratory IDs,Recovered but not balanced,61,NA,0,61,68,TBATS,-1,-1,3.967671405752208,0.48,Cumulative review needed,TRUE,3,Lower,Yes
Dengue fever,Vector-borne and zoonotic IDs,Recovered but not balanced,35,NA,1,35,47,TBATS,0,0,1.100056239023972,0.383,Cumulative review needed,TRUE,3,Lower,Yes
Leptospirosis,Vector-borne and zoonotic IDs,Balanced,11,32,5,11,30,ARIMA + Fourier,1,1,0.8094301631240352,0.773,Low priority routine review,TRUE,3,Moderate,Yes
Malaria,Vector-borne and zoonotic IDs,No deficit,NA,NA,NA,NA,NA,Hybrid,0,0,1.5551654209836265,0.523,No deficit monitoring,TRUE,2,Lower,Yes
Melioidosis,Vector-borne and zoonotic IDs,Balanced,28,36,4,28,32,Hybrid,-2,-2,1.1304541049098176,1,Recovered but recalibrate seasonality,TRUE,3,High,Yes
S. suis,Vector-borne and zoonotic IDs,Balanced,5,7,NA,5,6,ETS,0,0,0.8002863278453831,1,Low priority routine review,TRUE,1,High,Partial
Scrub Typhus,Vector-borne and zoonotic IDs,Balanced,28,50,NA,28,44,ETS,0,0,1.012184381363846,1,Low priority routine review,TRUE,2,High,Yes
Amebiasis,Gastrointestinal IDs,Balanced,31,39,15,31,36,Bayesian structural,0,0,1.0258809380637401,0.539,Low priority routine review,TRUE,3,Lower,Yes
HAV,Gastrointestinal IDs,Recovered but not balanced,47,NA,0,47,NA,Hybrid,-5,-5,0.37755641882189345,0.961,Recalibrate and monitor,TRUE,3,High,Yes
HFMD,Gastrointestinal IDs,Balanced,9,32,34,9,31,Hybrid,1,0,1.2254340330025548,1,Low priority routine review,TRUE,3,High,Yes
Shigellosis,Gastrointestinal IDs,Recovered but not balanced,31,NA,3,31,NA,Bayesian structural,1,1,1.3213351877607789,0.375,Cumulative review needed,TRUE,3,Lower,Yes
Typhoid,Gastrointestinal IDs,Balanced,30,54,0,30,48,Hybrid,0,-1,0.8071659121949362,1,Low priority routine review,TRUE,1,High,Partial
CA (HPV),Sexually IDs,Balanced,42,56,2,42,52,Bayesian structural,4,4,0.8505727962669511,0.846,Recovered but recalibrate seasonality,TRUE,2,Moderate,Yes
Chancroid,Sexually IDs,Recovered but not balanced,48,NA,7,48,66,ARIMA + Fourier,0,0,1.0648853361655741,0.772,Cumulative review needed,TRUE,2,Moderate,Yes
Genital herpes,Sexually IDs,Balanced,36,52,31,36,48,Hybrid,2,3,1.0659308093471787,1,Recovered but recalibrate seasonality,TRUE,2,High,Yes
Gonorrhoea,Sexually IDs,Balanced,36,58,8,36,51,TBATS,0,1,1.0617193378480059,0.822,Low priority routine review,TRUE,1,Moderate,Partial
HBV,Sexually IDs,Balanced,38,52,5,38,49,ETS,2,2,1.0092184225251708,1,Recovered but recalibrate seasonality,TRUE,3,High,Yes
HCV,Sexually IDs,Balanced,28,35,0,28,31,ARIMA + Fourier,4,4,0.8699503702536633,0.947,Recovered but recalibrate seasonality,TRUE,3,High,Yes
Syphilis,Sexually IDs,Balanced,36,54,24,36,49,SARIMA,-2,0,1.0218651196519217,0.616,Recovered but recalibrate seasonality,TRUE,3,Lower,Yes
