"Config","Threshold","Persistence","Shortname","Group","Status","Date_Recovery","Date_Balance","Recovery_Months","Balance_Months"
"90% / 2 mo",0.9,2,"Pneumonia","Respiratory IDs","Debt Repaid",2022-11-01,2025-01-01,34,60
"90% / 2 mo",0.9,2,"Influenza","Respiratory IDs","Recovered",2023-09-01,NA,44,NA
"90% / 2 mo",0.9,2,"Chickenpox","Respiratory IDs","Recovered",2024-08-01,NA,55,NA
"90% / 2 mo",0.9,2,"Mumps","Respiratory IDs","Recovered",2025-09-01,NA,68,NA
"90% / 2 mo",0.9,2,"Scarlet fever","Respiratory IDs","Recovered",2025-02-01,NA,61,NA
"90% / 2 mo",0.9,2,"Rubella","Respiratory IDs","Suppressed",NA,NA,NA,NA
"90% / 2 mo",0.9,2,"Dengue fever","Vector-borne and zoonotic IDs","Recovered",2022-12-01,NA,35,NA
"90% / 2 mo",0.9,2,"Malaria","Vector-borne and zoonotic IDs","No Deficit",NA,NA,NA,NA
"90% / 2 mo",0.9,2,"Scrub Typhus","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2024-03-01,28,50
"90% / 2 mo",0.9,2,"Leptospirosis","Vector-borne and zoonotic IDs","Debt Repaid",2020-12-01,2022-09-01,11,32
"90% / 2 mo",0.9,2,"Melioidosis","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2023-01-01,28,36
"90% / 2 mo",0.9,2,"S. suis","Vector-borne and zoonotic IDs","Debt Repaid",2020-06-01,2020-08-01,5,7
"90% / 2 mo",0.9,2,"HFMD","Gastrointestinal IDs","Debt Repaid",2020-10-01,2022-09-01,9,32
"90% / 2 mo",0.9,2,"Amebiasis","Gastrointestinal IDs","Debt Repaid",2022-08-01,2023-04-01,31,39
"90% / 2 mo",0.9,2,"Shigellosis","Gastrointestinal IDs","Recovered",2020-08-01,NA,7,NA
"90% / 2 mo",0.9,2,"Typhoid","Gastrointestinal IDs","Debt Repaid",2022-07-01,2024-07-01,30,54
"90% / 2 mo",0.9,2,"HAV","Gastrointestinal IDs","Recovered",2020-01-01,NA,0,NA
"90% / 2 mo",0.9,2,"Gonorrhoea","Sexually IDs","Debt Repaid",2023-01-01,2024-11-01,36,58
"90% / 2 mo",0.9,2,"Syphilis","Sexually IDs","Debt Repaid",2022-08-01,2024-07-01,31,54
"90% / 2 mo",0.9,2,"HBV","Sexually IDs","Debt Repaid",2023-03-01,2024-05-01,38,52
"90% / 2 mo",0.9,2,"CA (HPV)","Sexually IDs","Debt Repaid",2023-07-01,2024-09-01,42,56
"90% / 2 mo",0.9,2,"Genital herpes","Sexually IDs","Debt Repaid",2023-01-01,2024-05-01,36,52
"90% / 2 mo",0.9,2,"Chancroid","Sexually IDs","Recovered",2020-10-01,NA,9,NA
"90% / 2 mo",0.9,2,"HCV","Sexually IDs","Debt Repaid",2021-07-01,2022-12-01,18,35
"90% / 3 mo",0.9,3,"Pneumonia","Respiratory IDs","Debt Repaid",2022-11-01,2025-01-01,34,60
"90% / 3 mo",0.9,3,"Influenza","Respiratory IDs","Recovered",2023-09-01,NA,44,NA
"90% / 3 mo",0.9,3,"Chickenpox","Respiratory IDs","Recovered",2025-07-01,NA,66,NA
"90% / 3 mo",0.9,3,"Mumps","Respiratory IDs","Recovered",2025-09-01,NA,68,NA
"90% / 3 mo",0.9,3,"Scarlet fever","Respiratory IDs","Recovered",2025-02-01,NA,61,NA
"90% / 3 mo",0.9,3,"Rubella","Respiratory IDs","Suppressed",NA,NA,NA,NA
"90% / 3 mo",0.9,3,"Dengue fever","Vector-borne and zoonotic IDs","Recovered",2022-12-01,NA,35,NA
"90% / 3 mo",0.9,3,"Malaria","Vector-borne and zoonotic IDs","No Deficit",NA,NA,NA,NA
"90% / 3 mo",0.9,3,"Scrub Typhus","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2024-03-01,28,50
"90% / 3 mo",0.9,3,"Leptospirosis","Vector-borne and zoonotic IDs","Debt Repaid",2020-12-01,2022-09-01,11,32
"90% / 3 mo",0.9,3,"Melioidosis","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2023-01-01,28,36
"90% / 3 mo",0.9,3,"S. suis","Vector-borne and zoonotic IDs","Debt Repaid",2020-06-01,2020-08-01,5,7
"90% / 3 mo",0.9,3,"HFMD","Gastrointestinal IDs","Debt Repaid",2020-10-01,2022-09-01,9,32
"90% / 3 mo",0.9,3,"Amebiasis","Gastrointestinal IDs","Debt Repaid",2022-08-01,2023-04-01,31,39
"90% / 3 mo",0.9,3,"Shigellosis","Gastrointestinal IDs","Recovered",2022-08-01,NA,31,NA
"90% / 3 mo",0.9,3,"Typhoid","Gastrointestinal IDs","Debt Repaid",2022-07-01,2024-07-01,30,54
"90% / 3 mo",0.9,3,"HAV","Gastrointestinal IDs","Recovered",2023-12-01,NA,47,NA
"90% / 3 mo",0.9,3,"Gonorrhoea","Sexually IDs","Debt Repaid",2023-01-01,2024-11-01,36,58
"90% / 3 mo",0.9,3,"Syphilis","Sexually IDs","Debt Repaid",2023-01-01,2024-07-01,36,54
"90% / 3 mo",0.9,3,"HBV","Sexually IDs","Debt Repaid",2023-03-01,2024-05-01,38,52
"90% / 3 mo",0.9,3,"CA (HPV)","Sexually IDs","Debt Repaid",2023-07-01,2024-09-01,42,56
"90% / 3 mo",0.9,3,"Genital herpes","Sexually IDs","Debt Repaid",2023-01-01,2024-05-01,36,52
"90% / 3 mo",0.9,3,"Chancroid","Sexually IDs","Recovered",2024-01-01,NA,48,NA
"90% / 3 mo",0.9,3,"HCV","Sexually IDs","Debt Repaid",2022-05-01,2022-12-01,28,35
"90% / 4 mo",0.9,4,"Pneumonia","Respiratory IDs","Debt Repaid",2022-11-01,2025-01-01,34,60
"90% / 4 mo",0.9,4,"Influenza","Respiratory IDs","Recovered",2023-09-01,NA,44,NA
"90% / 4 mo",0.9,4,"Chickenpox","Respiratory IDs","Recovered",2025-07-01,NA,66,NA
"90% / 4 mo",0.9,4,"Mumps","Respiratory IDs","Recovered",2025-09-01,NA,68,NA
"90% / 4 mo",0.9,4,"Scarlet fever","Respiratory IDs","Recovered",2025-02-01,NA,61,NA
"90% / 4 mo",0.9,4,"Rubella","Respiratory IDs","Suppressed",NA,NA,NA,NA
"90% / 4 mo",0.9,4,"Dengue fever","Vector-borne and zoonotic IDs","Recovered",2022-12-01,NA,35,NA
"90% / 4 mo",0.9,4,"Malaria","Vector-borne and zoonotic IDs","No Deficit",NA,NA,NA,NA
"90% / 4 mo",0.9,4,"Scrub Typhus","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2024-03-01,28,50
"90% / 4 mo",0.9,4,"Leptospirosis","Vector-borne and zoonotic IDs","Debt Repaid",2022-04-01,2022-09-01,27,32
"90% / 4 mo",0.9,4,"Melioidosis","Vector-borne and zoonotic IDs","Debt Repaid",2022-05-01,2023-01-01,28,36
